symbol,report_date
AKAM,2022-05-03
AKAM,2022-08-09
AKAM,2022-11-08
AKAM,2023-02-14
AKAM,2023-05-09
AKAM,2023-08-08
AKAM,2023-11-07
AKAM,2024-02-13
AKAM,2024-05-09
AKAM,2024-08-08
AKAM,2024-11-07
AKAM,2025-02-20
AKAM,2025-05-08
AKAM,2025-08-07
AKAM,2025-11-06
AKAM,2026-02-19
AKAM,2026-05-07
ALB,1996-04-24
ALB,1996-07-25
ALB,1996-10-22
ALB,1997-01-29
ALB,1997-04-22
ALB,1997-07-23
ALB,1997-10-22
ALB,1998-01-28
ALB,1998-04-21
ALB,1998-07-22
ALB,1998-10-21
ALB,1999-01-22
ALB,1999-04-21
ALB,1999-07-16
ALB,1999-10-15
ALB,2000-01-20
ALB,2000-04-17
ALB,2000-07-18
ALB,2000-10-17
ALB,2001-01-19
ALB,2001-04-20
ALB,2001-07-23
ALB,2001-10-19
ALB,2002-01-23
ALB,2002-04-19
ALB,2002-07-25
ALB,2002-10-23
ALB,2003-01-23
ALB,2003-04-23
ALB,2003-07-23
ALB,2003-10-21
ALB,2004-01-29
ALB,2004-04-21
ALB,2004-07-22
ALB,2004-10-28
ALB,2005-02-03
ALB,2005-04-26
ALB,2005-07-20
ALB,2005-10-25
ALB,2006-01-25
ALB,2006-04-25
ALB,2006-07-24
ALB,2006-10-18
ALB,2007-01-23
ALB,2007-04-23
ALB,2007-07-24
ALB,2007-10-22
ALB,2008-01-28
ALB,2008-04-21
ALB,2008-07-21
ALB,2008-10-27
ALB,2009-01-26
ALB,2009-04-27
ALB,2009-07-22
ALB,2009-10-26
ALB,2010-01-25
ALB,2010-04-26
ALB,2010-07-26
ALB,2010-10-21
ALB,2011-01-24
ALB,2011-04-19
ALB,2011-07-21
ALB,2011-10-24
ALB,2012-01-23
ALB,2012-04-18
ALB,2012-07-17
ALB,2012-10-17
ALB,2013-01-22
ALB,2013-04-17
ALB,2013-07-17
ALB,2013-10-16
ALB,2014-01-28
ALB,2014-04-16
ALB,2014-07-30
ALB,2014-10-22
ALB,2015-01-28
ALB,2015-05-06
ALB,2015-08-05
ALB,2015-11-04
ALB,2016-02-17
ALB,2016-05-10
ALB,2016-08-03
ALB,2016-11-07
ALB,2017-02-27
ALB,2017-05-03
ALB,2017-08-07
ALB,2017-11-08
ALB,2018-02-27
ALB,2018-05-09
ALB,2018-08-07
ALB,2018-11-07
ALB,2019-02-20
ALB,2019-05-08
ALB,2019-08-07
ALB,2019-11-06
ALB,2020-02-19
ALB,2020-05-06
ALB,2020-08-05
ALB,2020-11-04
ALB,2021-02-17
ALB,2021-05-05
ALB,2021-08-04
ALB,2021-11-03
ALB,2022-02-16
ALB,2022-05-04
ALB,2022-08-03
ALB,2022-11-02
ALB,2023-02-15
ALB,2023-05-03
ALB,2023-08-02
ALB,2023-11-01
ALB,2024-02-14
ALB,2024-05-01
ALB,2024-07-31
ALB,2024-11-06
ALB,2025-02-12
ALB,2025-04-30
ALB,2025-07-30
ALB,2025-11-05
ALB,2026-02-11
ALB,2026-05-06
ALGN,2001-04-26
ALGN,2001-07-25
ALGN,2001-10-22
ALGN,2002-02-12
ALGN,2002-04-24
ALGN,2002-07-24
ALGN,2002-10-24
ALGN,2003-02-13
ALGN,2003-04-24
ALGN,2003-07-24
ALGN,2003-10-23
ALGN,2004-01-29
ALGN,2004-04-22
ALGN,2004-07-22
ALGN,2004-10-21
ALGN,2005-01-26
ALGN,2005-04-20
ALGN,2005-07-20
ALGN,2005-10-26
ALGN,2006-01-25
ALGN,2006-04-26
ALGN,2006-07-26
ALGN,2006-10-25
ALGN,2007-01-30
ALGN,2007-04-26
ALGN,2007-07-25
ALGN,2007-10-24
ALGN,2008-01-29
ALGN,2008-04-29
ALGN,2008-07-29
ALGN,2008-10-28
ALGN,2009-01-28
ALGN,2009-04-23
ALGN,2009-07-23
ALGN,2009-10-22
ALGN,2010-01-27
ALGN,2010-04-22
ALGN,2010-07-22
ALGN,2010-10-21
ALGN,2011-01-26
ALGN,2011-04-20
ALGN,2011-08-01
ALGN,2011-10-27
ALGN,2012-01-30
ALGN,2012-04-23
ALGN,2012-07-19
ALGN,2012-10-17
ALGN,2013-01-30
ALGN,2013-04-18
ALGN,2013-07-18
ALGN,2013-10-17
ALGN,2014-01-30
ALGN,2014-04-23
ALGN,2014-07-24
ALGN,2014-10-23
ALGN,2015-01-29
ALGN,2015-04-23
ALGN,2015-07-23
ALGN,2015-10-22
ALGN,2016-01-28
ALGN,2016-04-28
ALGN,2016-07-28
ALGN,2016-11-07
ALGN,2017-01-31
ALGN,2017-04-27
ALGN,2017-07-27
ALGN,2017-10-26
ALGN,2018-01-30
ALGN,2018-04-25
ALGN,2018-07-25
ALGN,2018-10-24
ALGN,2019-01-29
ALGN,2019-04-24
ALGN,2019-07-24
ALGN,2019-10-23
ALGN,2020-01-29
ALGN,2020-04-29
ALGN,2020-07-22
ALGN,2020-10-21
ALGN,2021-02-03
ALGN,2021-04-28
ALGN,2021-07-28
ALGN,2021-10-27
ALGN,2022-02-02
ALGN,2022-04-27
ALGN,2022-07-27
ALGN,2022-10-26
ALGN,2023-02-01
ALGN,2023-04-26
ALGN,2023-07-26
ALGN,2023-10-25
ALGN,2024-01-31
ALGN,2024-04-24
ALGN,2024-07-24
ALGN,2024-10-23
ALGN,2025-02-05
ALGN,2025-04-30
ALGN,2025-07-30
ALGN,2025-10-29
ALGN,2026-02-04
ALGN,2026-04-29
ALL,1996-04-17
ALL,1996-07-23
ALL,1996-10-17
ALL,1997-02-06
ALL,1997-04-22
ALL,1997-07-22
ALL,1997-10-21
ALL,1998-02-11
ALL,1998-04-22
ALL,1998-07-22
ALL,1998-10-21
ALL,1999-02-10
ALL,1999-04-21
ALL,1999-07-21
ALL,1999-10-20
ALL,2000-02-09
ALL,2000-04-20
ALL,2000-07-20
ALL,2000-10-19
ALL,2001-02-07
ALL,2001-04-19
ALL,2001-07-19
ALL,2001-10-18
ALL,2002-02-06
ALL,2002-04-17
ALL,2002-07-18
ALL,2002-10-16
ALL,2003-02-05
ALL,2003-04-15
ALL,2003-07-16
ALL,2003-10-15
ALL,2004-02-04
ALL,2004-04-20
ALL,2004-07-19
ALL,2004-10-20
ALL,2005-02-02
ALL,2005-04-20
ALL,2005-07-20
ALL,2005-10-19
ALL,2006-01-31
ALL,2006-04-18
ALL,2006-07-19
ALL,2006-10-18
ALL,2007-01-30
ALL,2007-04-18
ALL,2007-07-18
ALL,2007-10-17
ALL,2008-01-29
ALL,2008-04-23
ALL,2008-07-23
ALL,2008-10-22
ALL,2009-01-28
ALL,2009-05-07
ALL,2009-08-05
ALL,2009-11-04
ALL,2010-02-10
ALL,2010-04-28
ALL,2010-08-04
ALL,2010-10-27
ALL,2011-02-09
ALL,2011-04-27
ALL,2011-08-01
ALL,2011-10-31
ALL,2012-02-01
ALL,2012-05-02
ALL,2012-07-31
ALL,2012-10-31
ALL,2013-02-06
ALL,2013-05-01
ALL,2013-07-31
ALL,2013-10-30
ALL,2014-02-05
ALL,2014-05-06
ALL,2014-07-30
ALL,2014-10-29
ALL,2015-02-04
ALL,2015-05-05
ALL,2015-08-03
ALL,2015-11-02
ALL,2016-02-03
ALL,2016-05-04
ALL,2016-08-03
ALL,2016-11-02
ALL,2017-02-01
ALL,2017-05-02
ALL,2017-08-01
ALL,2017-11-01
ALL,2018-02-07
ALL,2018-05-01
ALL,2018-08-01
ALL,2018-10-31
ALL,2019-02-05
ALL,2019-05-01
ALL,2019-07-30
ALL,2019-10-29
ALL,2020-02-04
ALL,2020-05-05
ALL,2020-08-04
ALL,2020-11-04
ALL,2021-02-03
ALL,2021-05-05
ALL,2021-08-04
ALL,2021-11-03
ALL,2022-02-02
ALL,2022-05-04
ALL,2022-08-03
ALL,2022-11-02
ALL,2023-02-01
ALL,2023-05-03
ALL,2023-08-01
ALL,2023-11-01
ALL,2024-02-07
ALL,2024-05-01
ALL,2024-07-31
ALL,2024-10-30
ALL,2025-02-05
ALL,2025-04-30
ALL,2025-07-30
ALL,2025-11-05
ALL,2026-02-04
ALL,2026-04-29
ALLE,2013-11-27
ALLE,2014-02-19
ALLE,2014-04-30
ALLE,2014-07-30
ALLE,2014-10-30
ALLE,2015-02-18
ALLE,2015-04-30
ALLE,2015-07-30
ALLE,2015-10-29
ALLE,2016-02-11
ALLE,2016-04-28
ALLE,2016-07-28
ALLE,2016-10-27
ALLE,2017-02-09
ALLE,2017-04-27
ALLE,2017-07-27
ALLE,2017-10-26
ALLE,2018-02-20
ALLE,2018-04-26
ALLE,2018-07-26
ALLE,2018-10-25
ALLE,2019-02-19
ALLE,2019-04-25
ALLE,2019-07-25
ALLE,2019-10-24
ALLE,2020-02-18
ALLE,2020-04-23
ALLE,2020-07-23
ALLE,2020-10-22
ALLE,2021-02-16
ALLE,2021-04-22
ALLE,2021-07-22
ALLE,2021-10-21
ALLE,2022-02-15
ALLE,2022-04-26
ALLE,2022-07-28
ALLE,2022-10-27
ALLE,2023-02-22
ALLE,2023-04-26
ALLE,2023-07-26
ALLE,2023-10-31
ALLE,2024-02-20
ALLE,2024-04-25
ALLE,2024-07-24
ALLE,2024-10-24
ALLE,2025-02-18
ALLE,2025-04-24
ALLE,2025-07-24
ALLE,2025-10-23
ALLE,2026-02-24
ALLE,2026-04-28
AMAT,1996-05-14
AMAT,1996-08-13
AMAT,1996-11-21
AMAT,1997-02-11
AMAT,1997-05-13
AMAT,1997-08-12
AMAT,1997-11-20
AMAT,1998-02-11
AMAT,1998-05-12
AMAT,1998-08-11
AMAT,1998-11-17
AMAT,1999-02-16
AMAT,1999-05-18
AMAT,1999-08-17
AMAT,1999-11-17
AMAT,2000-02-15
AMAT,2000-05-10
AMAT,2000-08-09
AMAT,2000-11-15
AMAT,2001-02-13
AMAT,2001-05-15
AMAT,2001-08-14
AMAT,2001-11-14
AMAT,2002-02-12
AMAT,2002-05-14
AMAT,2002-08-13
AMAT,2002-11-13
AMAT,2003-02-11
AMAT,2003-05-13
AMAT,2003-08-12
AMAT,2003-11-12
AMAT,2004-02-18
AMAT,2004-05-18
AMAT,2004-08-17
AMAT,2004-11-17
AMAT,2005-02-15
AMAT,2005-05-17
AMAT,2005-08-16
AMAT,2005-11-16
AMAT,2006-02-15
AMAT,2006-05-16
AMAT,2006-08-15
AMAT,2006-11-15
AMAT,2007-02-13
AMAT,2007-05-15
AMAT,2007-08-14
AMAT,2007-11-14
AMAT,2008-02-12
AMAT,2008-05-13
AMAT,2008-08-12
AMAT,2008-11-12
AMAT,2009-02-10
AMAT,2009-05-12
AMAT,2009-08-11
AMAT,2009-11-11
AMAT,2010-02-17
AMAT,2010-05-19
AMAT,2010-08-18
AMAT,2010-11-17
AMAT,2011-02-24
AMAT,2011-05-24
AMAT,2011-08-24
AMAT,2011-11-16
AMAT,2012-02-16
AMAT,2012-05-17
AMAT,2012-08-15
AMAT,2012-11-15
AMAT,2013-02-13
AMAT,2013-05-16
AMAT,2013-08-15
AMAT,2013-11-14
AMAT,2014-02-12
AMAT,2014-05-15
AMAT,2014-08-14
AMAT,2014-11-13
AMAT,2015-02-11
AMAT,2015-05-14
AMAT,2015-08-13
AMAT,2015-11-12
AMAT,2016-02-18
AMAT,2016-05-19
AMAT,2016-08-18
AMAT,2016-11-17
AMAT,2017-02-15
AMAT,2017-05-18
AMAT,2017-08-17
AMAT,2017-11-16
AMAT,2018-02-14
AMAT,2018-05-17
AMAT,2018-08-16
AMAT,2018-11-15
AMAT,2019-02-14
AMAT,2019-05-16
AMAT,2019-08-15
AMAT,2019-11-14
AMAT,2020-02-12
AMAT,2020-05-14
AMAT,2020-08-13
AMAT,2020-11-12
AMAT,2021-02-18
AMAT,2021-05-20
AMAT,2021-08-19
AMAT,2021-11-18
AMAT,2022-02-16
AMAT,2022-05-19
AMAT,2022-08-18
AMAT,2022-11-17
AMAT,2023-02-16
AMAT,2023-05-18
AMAT,2023-08-17
AMAT,2023-11-16
AMAT,2024-02-15
AMAT,2024-05-16
AMAT,2024-08-15
AMAT,2024-11-14
AMAT,2025-02-13
AMAT,2025-05-15
AMAT,2025-08-14
AMAT,2025-12-12
AMAT,2026-02-12
AMAT,2026-05-14
AMCR,2017-03-31
AMCR,2017-08-22
AMCR,2018-03-31
AMCR,2018-08-20
AMCR,2019-02-10
AMCR,2019-05-09
AMCR,2019-08-20
AMCR,2019-11-07
AMCR,2020-02-11
AMCR,2020-05-11
AMCR,2020-08-18
AMCR,2020-11-05
AMCR,2021-02-02
AMCR,2021-05-04
AMCR,2021-08-17
AMCR,2021-11-02
AMCR,2022-02-01
AMCR,2022-05-03
AMCR,2022-08-17
AMCR,2022-11-01
AMCR,2023-02-07
AMCR,2023-05-02
AMCR,2023-08-16
AMCR,2023-10-31
AMCR,2024-02-06
AMCR,2024-04-30
AMCR,2024-08-15
AMCR,2024-10-31
AMCR,2025-02-04
AMCR,2025-04-30
AMCR,2025-08-14
AMCR,2025-11-05
AMCR,2026-02-03
AMCR,2026-05-06
AMD,1996-04-09
AMD,1996-07-10
AMD,1996-10-07
AMD,1997-01-13
AMD,1997-04-07
AMD,1997-07-08
AMD,1997-10-07
AMD,1998-01-13
AMD,1998-04-07
AMD,1998-07-08
AMD,1998-10-06
AMD,1999-01-13
AMD,1999-04-14
AMD,1999-07-14
AMD,1999-10-06
AMD,2000-01-20
AMD,2000-04-12
AMD,2000-07-19
AMD,2000-10-11
AMD,2001-01-17
AMD,2001-04-18
AMD,2001-07-12
AMD,2001-10-17
AMD,2002-01-16
AMD,2002-04-17
AMD,2002-07-17
AMD,2002-10-16
AMD,2003-01-16
AMD,2003-04-16
AMD,2003-07-16
AMD,2003-10-16
AMD,2004-01-20
AMD,2004-04-14
AMD,2004-07-14
AMD,2004-10-07
AMD,2005-01-18
AMD,2005-04-13
AMD,2005-07-13
AMD,2005-10-11
AMD,2006-01-18
AMD,2006-04-12
AMD,2006-07-20
AMD,2006-10-18
AMD,2007-01-23
AMD,2007-04-19
AMD,2007-07-19
AMD,2007-10-18
AMD,2008-01-17
AMD,2008-04-17
AMD,2008-07-17
AMD,2008-10-16
AMD,2009-01-22
AMD,2009-04-21
AMD,2009-07-21
AMD,2009-10-15
AMD,2010-01-21
AMD,2010-04-15
AMD,2010-07-15
AMD,2010-10-14
AMD,2011-01-20
AMD,2011-04-21
AMD,2011-07-21
AMD,2011-10-27
AMD,2012-01-24
AMD,2012-04-19
AMD,2012-07-19
AMD,2012-10-18
AMD,2013-01-22
AMD,2013-04-18
AMD,2013-07-18
AMD,2013-10-17
AMD,2014-01-21
AMD,2014-04-17
AMD,2014-07-17
AMD,2014-10-16
AMD,2015-01-20
AMD,2015-04-16
AMD,2015-07-16
AMD,2015-10-15
AMD,2016-01-19
AMD,2016-04-21
AMD,2016-07-21
AMD,2016-10-20
AMD,2017-01-31
AMD,2017-05-01
AMD,2017-07-25
AMD,2017-10-24
AMD,2018-01-30
AMD,2018-04-25
AMD,2018-07-25
AMD,2018-10-24
AMD,2019-01-29
AMD,2019-04-30
AMD,2019-07-30
AMD,2019-10-29
AMD,2020-01-28
AMD,2020-04-28
AMD,2020-07-28
AMD,2020-10-27
AMD,2021-01-26
AMD,2021-04-27
AMD,2021-07-27
AMD,2021-10-26
AMD,2022-02-01
AMD,2022-05-03
AMD,2022-08-02
AMD,2022-11-01
AMD,2023-01-31
AMD,2023-05-02
AMD,2023-08-01
AMD,2023-10-31
AMD,2024-01-30
AMD,2024-04-30
AMD,2024-07-30
AMD,2024-10-29
AMD,2025-02-04
AMD,2025-05-06
AMD,2025-08-05
AMD,2025-11-04
AMD,2026-02-03
AMD,2026-05-05
AME,1997-11-18
AME,1998-01-21
AME,1998-04-20
AME,1998-07-20
AME,1998-10-20
AME,1999-01-25
AME,1999-04-19
AME,1999-07-19
AME,1999-10-18
AME,2000-01-24
AME,2000-04-18
AME,2000-07-17
AME,2000-10-16
AME,2001-01-22
AME,2001-04-18
AME,2001-07-23
AME,2001-10-22
AME,2002-01-30
AME,2002-04-23
AME,2002-07-22
AME,2002-10-21
AME,2003-01-28
AME,2003-04-22
AME,2003-07-21
AME,2003-10-20
AME,2004-01-28
AME,2004-04-21
AME,2004-07-21
AME,2004-10-20
AME,2005-01-26
AME,2005-04-19
AME,2005-07-20
AME,2005-10-20
AME,2006-01-25
AME,2006-04-20
AME,2006-07-20
AME,2006-10-19
AME,2007-01-24
AME,2007-04-19
AME,2007-07-19
AME,2007-10-18
AME,2008-01-23
AME,2008-04-21
AME,2008-07-21
AME,2008-10-21
AME,2009-01-30
AME,2009-04-21
AME,2009-07-28
AME,2009-10-27
AME,2010-01-26
AME,2010-04-27
AME,2010-07-27
AME,2010-10-26
AME,2011-01-27
AME,2011-04-28
AME,2011-07-26
AME,2011-10-25
AME,2012-01-26
AME,2012-04-26
AME,2012-07-24
AME,2012-10-23
AME,2013-01-24
AME,2013-04-25
AME,2013-08-07
AME,2013-10-29
AME,2014-01-29
AME,2014-05-06
AME,2014-08-05
AME,2014-10-28
AME,2015-01-28
AME,2015-04-29
AME,2015-08-04
AME,2015-10-27
AME,2016-02-05
AME,2016-04-28
AME,2016-08-04
AME,2016-11-01
AME,2017-02-07
AME,2017-05-02
AME,2017-08-02
AME,2017-11-02
AME,2018-02-01
AME,2018-05-02
AME,2018-07-31
AME,2018-11-01
AME,2019-02-05
AME,2019-05-01
AME,2019-07-30
AME,2019-10-31
AME,2020-02-05
AME,2020-05-05
AME,2020-08-04
AME,2020-10-29
AME,2021-02-04
AME,2021-05-04
AME,2021-08-03
AME,2021-11-02
AME,2022-02-03
AME,2022-05-03
AME,2022-08-02
AME,2022-11-01
AME,2023-02-02
AME,2023-05-02
AME,2023-08-01
AME,2023-10-31
AME,2024-02-06
AME,2024-05-02
AME,2024-08-01
AME,2024-10-31
AME,2025-02-04
AME,2025-05-01
AME,2025-07-31
AME,2025-10-30
AME,2026-02-03
AME,2026-04-30
AMGN,1996-04-17
AMGN,1996-07-18
AMGN,1996-10-15
AMGN,1997-01-23
AMGN,1997-04-17
AMGN,1997-07-15
AMGN,1997-10-22
AMGN,1998-01-22
AMGN,1998-04-22
AMGN,1998-07-22
AMGN,1998-10-27
AMGN,1999-01-28
AMGN,1999-04-20
AMGN,1999-07-12
AMGN,1999-10-20
AMGN,2000-01-25
AMGN,2000-04-25
AMGN,2000-07-26
AMGN,2000-10-26
AMGN,2001-01-24
AMGN,2001-04-26
AMGN,2001-07-26
AMGN,2001-10-25
AMGN,2002-01-23
AMGN,2002-04-25
AMGN,2002-07-24
AMGN,2002-10-23
AMGN,2003-01-23
AMGN,2003-04-22
AMGN,2003-07-22
AMGN,2003-10-21
AMGN,2004-01-22
AMGN,2004-04-22
AMGN,2004-07-22
AMGN,2004-10-20
AMGN,2005-01-27
AMGN,2005-04-21
AMGN,2005-07-19
AMGN,2005-10-19
AMGN,2006-01-26
AMGN,2006-04-18
AMGN,2006-07-20
AMGN,2006-10-23
AMGN,2007-01-25
AMGN,2007-04-23
AMGN,2007-07-26
AMGN,2007-10-24
AMGN,2008-01-24
AMGN,2008-04-24
AMGN,2008-07-28
AMGN,2008-10-22
AMGN,2009-01-26
AMGN,2009-04-23
AMGN,2009-07-27
AMGN,2009-10-21
AMGN,2010-01-25
AMGN,2010-04-21
AMGN,2010-07-29
AMGN,2010-10-25
AMGN,2011-01-24
AMGN,2011-04-20
AMGN,2011-07-29
AMGN,2011-10-24
AMGN,2012-01-26
AMGN,2012-04-24
AMGN,2012-07-26
AMGN,2012-10-23
AMGN,2013-01-23
AMGN,2013-04-23
AMGN,2013-07-30
AMGN,2013-10-22
AMGN,2014-01-28
AMGN,2014-04-22
AMGN,2014-07-29
AMGN,2014-10-27
AMGN,2015-01-27
AMGN,2015-04-21
AMGN,2015-07-30
AMGN,2015-10-28
AMGN,2016-01-28
AMGN,2016-04-28
AMGN,2016-07-27
AMGN,2016-10-27
AMGN,2017-02-02
AMGN,2017-04-26
AMGN,2017-07-25
AMGN,2017-10-25
AMGN,2018-02-01
AMGN,2018-04-24
AMGN,2018-07-26
AMGN,2018-10-30
AMGN,2019-01-29
AMGN,2019-04-30
AMGN,2019-07-30
AMGN,2019-10-29
AMGN,2020-01-30
AMGN,2020-04-30
AMGN,2020-07-28
AMGN,2020-10-28
AMGN,2021-02-02
AMGN,2021-04-27
AMGN,2021-08-03
AMGN,2021-11-02
AMGN,2022-02-07
AMGN,2022-04-27
AMGN,2022-08-04
AMGN,2022-11-03
AMGN,2023-01-31
AMGN,2023-04-27
AMGN,2023-08-03
AMGN,2023-10-31
AMGN,2024-02-06
AMGN,2024-05-02
AMGN,2024-08-06
AMGN,2024-10-30
AMGN,2025-02-04
AMGN,2025-05-01
AMGN,2025-08-05
AMGN,2025-11-04
AMGN,2026-02-03
AMGN,2026-04-30
